"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"A",2.02885175110233,2.02883976450495,0.0469691289445362,0.0468828278999398,1.95223589766329,2.10617129577212,0.999994290015134,22966.4778526873,58460.7097593768
"f0",0.119986225996344,0.11998633461628,2.70668113348801e-05,2.70851766446274e-05,0.119941615513044,0.120030784816348,1.00053240487582,4709.35806256902,9213.86044073689
"fdot",0.000120034634236649,0.000120034622213428,6.92323547312528e-08,6.91335612513328e-08,0.000119921447545973,0.000120149272773977,1.00048622013338,4974.0994785593,9157.0601949949
"phi[1]",4.38555590382012,4.21759528604884,1.42117350497021,1.37973869486292,2.34771496254006,6.95976815386409,1.00071365821654,1828.56255280412,4067.47533555626
"phi[2]",9.65821417906466,9.37887598204379,2.8868975707696,2.80505847590697,5.41481970600023,14.8726855784074,1.00210155129457,1366.48735654718,3465.68914904128
"c[1]",-0.0191015686636297,-0.00944065747640649,0.427880478998479,0.422952967548027,-0.721513262719406,0.67493674429398,1.00683015619511,1112.1198737057,2561.22159620919
"c[2]",0.0224785812476025,0.00387364040883293,0.42766085932382,0.414290979996008,-0.659252523092839,0.757268693950236,1.00526682111991,1086.01605393982,2289.20007510729
"c[3]",0.0132850958593609,0.0191447341867085,0.496414653050383,0.469527397268965,-0.805082967016795,0.831365189346021,1.00492189842399,1298.60223228941,2397.59297804071
"c[4]",0.00709864135688055,0.00409654250252997,0.515714101967057,0.509723768211583,-0.835239015927092,0.846971233840967,1.00194732648603,1243.36912952681,2529.79861133905
"c[5]",0.0247158980406615,0.0244985370894488,0.511536429342783,0.505406691883689,-0.812673515801572,0.863535256783147,1.0021519423353,1448.34000128512,2790.02442030506
"c[6]",-0.146804321847784,-0.146115881910471,0.51566766726057,0.510591344440885,-0.990781026142806,0.690925031367663,1.00151933216139,1426.43809931293,2600.62124720266
"c[7]",-0.021902203903818,-0.027122618604604,0.517981196605814,0.501432018258061,-0.855540828115889,0.847212650770091,1.00358794636974,1343.87962861639,2654.80803934567
"c[8]",-0.0919563206427339,-0.0961174112439833,0.516905604196504,0.484231275245561,-0.948003263792972,0.753321125722615,1.00395304453503,1435.95863351027,2752.16489154707
"c[9]",0.0649996052498951,0.0723486733068825,0.510995268927446,0.472618958634854,-0.790924012124704,0.887714243679966,1.00294972836614,1461.25400841159,2129.24208023217
"c[10]",-0.0451109766111747,-0.0395717891535822,0.518298284400614,0.508702730121986,-0.908457060722973,0.799298197256843,1.00376246347047,1395.10114565668,2633.72636357705
"c[11]",0.0179917493381523,0.00582041806576634,0.508307209918392,0.493249220099573,-0.804395310171211,0.855180992609256,1.00524240231638,1493.09395412474,2689.13288242452
"c[12]",-0.0240947455325307,-0.0205076587077594,0.531397253091491,0.516604448312499,-0.89517080471162,0.840712291947996,1.00305604212519,1338.21096725329,2675.09944655885
"c[13]",-0.023726125563227,-0.0156552615381196,0.43350590470036,0.429016624967341,-0.746334417187059,0.6709065237402,1.00266813903115,1242.08896318682,2214.00959394281
"c[14]",-0.0122382102276941,-0.0139948056345217,0.437680747268712,0.438313534857473,-0.725765363255081,0.699455858676781,1.0028511068495,1240.26355318995,2243.7712734582
"c[15]",-0.0697353799803466,-0.0681863775709092,0.512351538029019,0.498076831396681,-0.916315378502097,0.772715928902488,1.00247279726174,1487.578576156,2742.68384614982
"c[16]",-0.058361853612403,-0.0528968169865079,0.505948326033285,0.489502620878425,-0.887683171290366,0.769206800200979,1.00294178432605,1517.57760481565,2647.76449806519
"c[17]",-0.0457272568740051,-0.0373664084651141,0.507298380033689,0.492536665802888,-0.879472925874044,0.794502648920425,1.00370404040392,1417.65659741462,2596.30475669932
"c[18]",0.0117519969878697,0.00969247446784226,0.522901199363178,0.487896339319896,-0.852098633838474,0.885427210836433,1.00285116584319,1369.58435676938,2162.61483185084
"c[19]",0.0512948252127,0.062025101857748,0.523934961649225,0.527038092940855,-0.808043172476003,0.889061578792988,1.00223261165681,1325.06654267476,2578.77418136629
"c[20]",-0.00238292171767405,0.0135112889371165,0.524146181852642,0.526868173817661,-0.85948344140729,0.855839112125452,1.00517787209066,1444.64326974359,2530.45437821352
"c[21]",0.0268074006429923,0.0361820792716283,0.513732740700721,0.50401099206279,-0.800363187031561,0.876661077577067,1.00372311703323,1698.30531757052,3047.62875195954
"c[22]",-0.0258126783408476,-0.0268391017412304,0.525940595708108,0.515226712146583,-0.879734039930212,0.823756863442006,1.00271519605251,1456.40843962005,2962.15577619315
"c[23]",0.0133010969040437,0.0203718704929584,0.53655899780351,0.5323395287981,-0.868110511653606,0.875959517029419,1.0039867748261,1522.80653804607,2780.35555318071
"c[24]",-0.0644868235624687,-0.0570593344084541,0.517563177153398,0.494539574367259,-0.919650481310957,0.77991606234326,1.00241438880617,1526.92125657552,2649.08988883127
"c[25]",0.110233883863694,0.115337884151479,0.694293191288058,0.669139628115904,-1.02449944316862,1.25749794715136,1.00189828286954,1712.77576280968,2897.38135024826
"c[26]",0.0645742958330261,0.065686713337911,0.676396785886178,0.670796574414954,-1.0313160545972,1.18879300726193,1.0031441009503,1703.05191933372,3287.10617707102
"c[27]",-0.158490664547638,-0.161882864359577,1.14424787350022,1.15429832646388,-2.05677337269382,1.7089369200981,1.00266602285899,2286.28635466251,4211.19528021391
"c[28]",-0.216840191069592,-0.207025815617096,1.11206901553271,1.11455061840957,-2.04527057801823,1.5886238129442,1.00183225190821,2161.84039475497,4356.88380270407
"c[29]",-0.74447457752,-0.721865956332836,1.11434068276306,1.08567755293526,-2.59468451549666,1.06298972778936,1.00130570126098,2214.66629378338,3829.50867087988
"c[30]",-0.0871787900485013,-0.0749015406557529,1.12118063178102,1.12380205050293,-1.95105937044355,1.75874768133776,1.00208559318343,1770.63093713033,3351.14031829189
