"n","replicate","seed","m","kt","ordinates","rmse","coverage","width","seconds","rhat","min_ess","divergences","treedepth","min_ebfmi","ok","attempts"
512,1,300101,13,7,234,0.495111094656246,0.83125,1.42425445344813,4.834,1.00848300185522,1013.42255435976,0,0,0.500463368074493,TRUE,1
512,2,300102,13,7,234,0.378771535761422,0.95125,1.45345572924846,4.636,1.00590673946801,688.540886127421,0,0,0.516655592535783,TRUE,1
512,3,300103,13,7,234,0.34897770445361,0.963125,1.4312433183824,4.639,1.00776562282061,892.09030451438,0,0,0.591373371101304,TRUE,1
512,4,300104,13,7,234,0.485144309486516,0.851875,1.44384246154791,5.063,1.00880388523092,931.515150933159,0,0,0.562152762041987,TRUE,1
512,5,300105,13,7,234,0.342731324383814,0.963125,1.43140271968315,4.445,1.00764368349103,671.267365699037,0,0,0.459757480472219,TRUE,1
512,6,300106,13,7,234,0.380965815117333,0.955,1.4475378795473,4.313,1.00942249082418,861.678473798418,0,0,0.491894366995473,TRUE,1
512,7,300107,13,7,234,0.456198643275779,0.8775,1.44860590119804,4.748,1.00821031096192,860.439383415617,0,0,0.52718778092052,TRUE,1
512,8,300108,13,7,234,0.450411267684918,0.89625,1.42970390363705,4.65000000000001,1.0072872396489,797.872762591953,0,0,0.509449493268916,TRUE,1
1024,1,300201,16,8,496,0.246007000490447,0.97125,1.1027085048341,5.438,1.00711658023233,863.477979478918,0,0,0.577448206534702,TRUE,1
1024,2,300202,16,8,496,0.33063468056416,0.905,1.11908375384119,5.414,1.00741183083683,1204.18369463758,0,0,0.603909590868329,TRUE,1
1024,3,300203,16,8,496,0.311936261161475,0.919375,1.11485286111143,5.653,1.00770470231202,957.712849043626,0,0,0.59098574198067,TRUE,1
1024,4,300204,16,8,496,0.312486544361701,0.928125,1.11420024133978,5.717,1.0083092885622,1162.50709832981,0,0,0.648122587878012,TRUE,1
1024,5,300205,16,8,496,0.358493707178144,0.883125,1.115983020677,5.247,1.00725604855764,867.906065311685,0,0,0.545355000102088,TRUE,1
1024,6,300206,16,8,496,0.298890532767543,0.923125,1.09466983754629,4.986,1.00831876603267,1115.91902358035,0,0,0.573688572191222,TRUE,1
1024,7,300207,16,8,496,0.339699901269149,0.891875,1.1149882876631,5.96300000000001,1.00531859942552,981.199893355431,0,0,0.631434472775153,TRUE,1
1024,8,300208,16,8,496,0.315555942028188,0.9225,1.11486124246687,5.79599999999999,1.00838089902512,816.235116127874,0,0,0.576761383041029,TRUE,1
2048,1,300301,20,10,1000,0.247059884159559,0.920625,0.880695031411782,7.319,1.00727997471953,1017.51134772287,0,0,0.598378872626104,TRUE,1
2048,2,300302,20,10,1000,0.226410062565373,0.94375,0.875888329722932,7.733,1.00583521833676,1131.64349444927,0,0,0.592711940771186,TRUE,1
2048,3,300303,20,10,1000,0.239066584742053,0.930625,0.873249714402621,7.382,1.0057030478713,1053.19140174439,0,0,0.682663123301496,TRUE,1
2048,4,300304,20,10,1000,0.271904373776928,0.905625,0.889706467779259,7.115,1.00777156153613,1214.8550592276,0,0,0.639384011081289,TRUE,1
2048,5,300305,20,10,1000,0.257522885076701,0.919375,0.885908975580972,6.09800000000001,1.00689698397492,1254.44753767052,0,0,0.633973341452934,TRUE,1
2048,6,300306,20,10,1000,0.27689280580475,0.895,0.883562123141092,21.558,1.00376724184322,2090.0686545627,0,0,0.628062466589088,TRUE,2
2048,7,300307,20,10,1000,0.284048823504954,0.869375,0.884361371481592,7.446,1.0061880581543,1057.09738128881,0,0,0.708514778602832,TRUE,1
2048,8,300308,20,10,1000,0.269206098573274,0.898125,0.882034303427461,7.493,1.00540086485759,1116.92353843126,0,0,0.6685993395652,TRUE,1
4096,1,300401,25,11,2000,0.21625046631311,0.861875,0.673907432755208,11.327,1.00684990910422,995.23983558184,0,0,0.712430341251071,TRUE,1
4096,2,300402,25,11,2000,0.192369126389141,0.919375,0.67790664477548,11.487,1.00543365542065,1428.29758753273,0,0,0.745364332585278,TRUE,1
4096,3,300403,25,11,2000,0.205493357668042,0.883125,0.677089510234727,11.544,1.00574827039762,1114.4948850518,0,0,0.693106368737088,TRUE,1
4096,4,300404,25,11,2000,0.194059861191034,0.9375,0.67834372226636,10.963,1.00594827858868,1190.09595681054,0,0,0.738589275966526,TRUE,1
4096,5,300405,25,11,2000,0.208850965831085,0.88,0.680337013757955,11.184,1.00843982400228,1248.97241354634,0,0,0.677869437493412,TRUE,1
4096,6,300406,25,11,2000,0.178568376814704,0.948125,0.677228588823457,10.955,1.00768247407365,1399.71774655867,0,0,0.669323075585735,TRUE,1
4096,7,300407,25,11,2000,0.191821016885038,0.911875,0.679232465092355,10.178,1.00609780064875,1425.4650298765,0,0,0.683310515727679,TRUE,1
4096,8,300408,25,11,2000,0.163849870033455,0.963125,0.678431908011598,11.501,1.00622714324189,1093.64890161253,0,0,0.624020977939648,TRUE,1
