"n","metric","replicates","mean","se","lower","upper"
512,"rmse",8,0.417288961852455,0.021671210042082,0.376231150960315,0.458346772744595
512,"coverage",8,0.911171875,0.0189856609646761,0.875202047932832,0.947141702067168
512,"width",8,1.43875579583655,0.00382389692353781,1.43151112253715,1.44600046913596
512,"seconds",8,4.666,0.0810524521529114,4.51243975826101,4.81956024173899
1024,"rmse",8,0.314213071227601,0.011784401623013,0.291886596038853,0.336539546416349
1024,"coverage",8,0.918046875,0.00950023312390185,0.900047936580088,0.936045813419912
1024,"width",8,1.11141846868497,0.0029280096116434,1.10587112431925,1.11696581305069
1024,"seconds",8,5.52675,0.112297714962124,5.31399315183226,5.73950684816773
2048,"rmse",8,0.259013939775449,0.00709939020934017,0.245563586975648,0.27246429257525
2048,"coverage",8,0.9103125,0.00823754471047914,0.894705824033054,0.925919175966946
2048,"width",8,0.881925789618464,0.00188161268983289,0.878360926473241,0.885490652763687
2048,"seconds",8,9.018,1.7998538631154,5.60803537865297,12.427964621347
4096,"rmse",8,0.193907880140701,0.00597948942195796,0.182579267412498,0.205236492868905
4096,"coverage",8,0.913125,0.0126657537069172,0.889128734009535,0.937121265990465
4096,"width",8,0.677809660714642,0.000670518847000842,0.676539310052805,0.67908001137648
4096,"seconds",8,11.142375,0.160457152435961,10.8383763119612,11.4463736880388
